"Happy, Devil's Due - Devil Baby Attack, Female, MEL build master-101 master-101","Engagement, Devil's Due - Devil Baby Attack, Female, MEL build master-101 master-101","Negative, Devil's Due - Devil Baby Attack, Female, MEL build master-101 master-101","Happy, Devil's Due - Devil Baby Attack, Male, MEL build master-101 master-101","Engagement, Devil's Due - Devil Baby Attack, Male, MEL build master-101 master-101","Negative, Devil's Due - Devil Baby Attack, Male, MEL build master-101 master-101"
0.061403,0.280701,0.131578,0.1,0.4,0.075
0.017241,0.232758,0.086206,0.09756,0.341463,0.060975
0.026315,0.254385,0.114035,0.071428,0.273809,0.023809
0.061403,0.254385,0.18421,0.131578,0.315789,0.052631
0.035087,0.219298,0.052631,0.107142,0.380952,0.071428
0.105263,0.263157,0.114035,0.1375,0.3875,0.0875
0.14035,0.368421,0.149122,0.15,0.4,0.1
0.1,0.354545,0.227272,0.2,0.5,0.1125
0.178571,0.392857,0.142857,0.207317,0.439024,0.134146
0.166666,0.421052,0.175438,0.243589,0.410256,0.01282
0.172413,0.396551,0.155172,0.25,0.4125,0.05
0.178571,0.410714,0.116071,0.214285,0.392857,0.095238
0.203389,0.372881,0.076271,0.142857,0.357142,0.047619
0.210526,0.377192,0.052631,0.166666,0.321428,0.035714
0.215517,0.336206,0.051724,0.125,0.3125,0.0875
0.189655,0.318965,0.051724,0.182926,0.390243,0.085365
0.146551,0.362068,0.060344,0.170731,0.317073,0.09756
0.103448,0.327586,0.155172,0.128205,0.26923,0.115384
0.166666,0.359649,0.114035,0.178571,0.333333,0.083333
0.190909,0.336363,0.118181,0.2,0.3125,0.075
0.175438,0.41228,0.192982,0.115384,0.307692,0.076923
0.172727,0.381818,0.154545,0.131578,0.328947,0.105263
0.181818,0.381818,0.163636,0.15,0.375,0.1
0.151785,0.383928,0.196428,0.2875,0.425,0.0875
0.211864,0.398305,0.169491,0.348837,0.523255,0.081395
0.215517,0.482758,0.181034,0.2875,0.4875,0.075
0.219298,0.447368,0.175438,0.175,0.4875,0.1
0.205357,0.446428,0.196428,0.210526,0.473684,0.18421
0.18421,0.41228,0.157894,0.280487,0.512195,0.134146
0.169642,0.401785,0.1875,0.231707,0.463414,0.121951
0.131578,0.421052,0.166666,0.205128,0.448717,0.102564
0.178571,0.348214,0.1875,0.193181,0.431818,0.090909
0.122807,0.447368,0.219298,0.219512,0.341463,0.02439
0.118644,0.372881,0.194915,0.179487,0.397435,0.076923
0.318181,0.536363,0.172727,0.353658,0.512195,0.085365
0.392857,0.598214,0.080357,0.421052,0.631578,0.039473
0.343137,0.529411,0.117647,0.5,0.675,0.075
0.362745,0.539215,0.117647,0.425,0.625,0.0375
0.436363,0.60909,0.127272,0.4,0.675,0.0875
0.318965,0.568965,0.206896,0.414634,0.585365,0.060975
0.423076,0.625,0.105769,0.475,0.625,0.05
0.4375,0.642857,0.160714,0.474358,0.641025,0.064102
0.445454,0.645454,0.136363,0.486842,0.644736,0.052631
0.454545,0.636363,0.136363,0.472222,0.708333,0.111111
0.361111,0.601851,0.175925,0.451219,0.695121,0.060975
0.407407,0.583333,0.138888,0.5,0.710526,0.078947
0.348214,0.580357,0.107142,0.538461,0.679487,0.038461
0.342592,0.574074,0.12037,0.547619,0.70238,0.059523
0.4375,0.651785,0.116071,0.551282,0.76923,0.076923
0.527777,0.666666,0.129629,0.525641,0.75641,0.051282
0.481818,0.636363,0.090909,0.51282,0.782051,0.076923
0.5,0.636363,0.081818,0.407894,0.631578,0.026315
0.462962,0.648148,0.148148,0.432432,0.716216,0.094594
0.436363,0.672727,0.136363,0.487179,0.653846,0.051282
0.471698,0.669811,0.113207,0.513513,0.675675,0.027027
0.435185,0.638888,0.166666,0.552631,0.631578,0.052631
0.418181,0.627272,0.127272,0.51282,0.730769,0.038461
0.509433,0.698113,0.132075,0.541666,0.763888,0.041666
0.518518,0.694444,0.138888,0.526315,0.723684,0.078947
0.607142,0.696428,0.133928,0.447368,0.710526,0.078947
0.45614,0.649122,0.122807,0.487179,0.666666,0.064102
0.418181,0.590909,0.154545,0.425,0.6375,0.0875
0.454545,0.645454,0.081818,0.4125,0.6375,0.0625
0.447368,0.68421,0.114035,0.4375,0.6375,0.05
0.464912,0.631578,0.122807,0.426829,0.658536,0.07317
0.462962,0.648148,0.12037,0.358974,0.679487,0.076923
0.386792,0.556603,0.169811,0.391891,0.554054,0.027027
0.4,0.563636,0.145454,0.358974,0.51282,0.038461
0.382352,0.588235,0.17647,0.320512,0.487179,0.038461
0.365384,0.586538,0.201923,0.294871,0.525641,0.025641
0.351851,0.574074,0.185185,0.346153,0.564102,0.025641
0.336538,0.548076,0.134615,0.375,0.6375,0.0375
0.377358,0.669811,0.188679,0.473684,0.605263,0.052631
0.42,0.69,0.28,0.448717,0.641025,0.064102
0.384615,0.653846,0.173076,0.5,0.68421,0.078947
0.403846,0.634615,0.173076,0.432432,0.635135,0.121621
0.352941,0.598039,0.156862,0.448717,0.615384,0.089743
0.459183,0.622448,0.163265,0.560975,0.658536,0.04878
0.413461,0.596153,0.115384,0.551282,0.705128,0.025641
0.441176,0.647058,0.147058,0.565789,0.789473,0.052631
0.5,0.622448,0.142857,0.552631,0.842105,0.065789
0.48,0.63,0.13,0.602564,0.794871,0.025641
0.51,0.63,0.16,0.487179,0.666666,0
0.46,0.65,0.17,0.55,0.6875,0.025
0.446428,0.678571,0.160714,0.523255,0.709302,0.046511
0.407407,0.601851,0.166666,0.523255,0.66279,0.046511
0.464912,0.736842,0.289473,0.593023,0.813953,0.116279
0.4,0.7,0.254545,0.658536,0.878048,0.085365
0.445454,0.736363,0.290909,0.6625,0.8,0.1125
0.473214,0.776785,0.294642,0.694444,0.791666,0.083333
0.448979,0.724489,0.27551,0.708333,0.833333,0.125
0.509259,0.74074,0.185185,0.680555,0.805555,0.041666
0.45,0.64,0.17,0.697368,0.763157,0.026315
0.407407,0.666666,0.175925,0.618421,0.802631,0.078947
0.473684,0.649122,0.210526,0.615384,0.75641,0.076923
0.462264,0.669811,0.132075,0.59756,0.756097,0.060975
0.482456,0.710526,0.192982,0.602564,0.75641,0.051282
0.432692,0.673076,0.192307,0.6,0.775,0.0875
0.392857,0.633928,0.196428,0.609756,0.743902,0.09756
0.375,0.625,0.1875,0.634146,0.768292,0.109756
0.368421,0.622807,0.201754,0.615384,0.730769,0.128205
0.342592,0.546296,0.157407,0.4125,0.6375,0.125
0.321428,0.535714,0.196428,0.488372,0.697674,0.104651
0.298245,0.596491,0.18421,0.439024,0.646341,0.07317
0.305084,0.584745,0.177966,0.439024,0.646341,0.134146
0.35,0.575,0.233333,0.475,0.6125,0.1
0.26415,0.433962,0.150943,0.3625,0.5625,0.1
0.294642,0.526785,0.196428,0.384615,0.576923,0.102564
0.292452,0.5,0.188679,0.353658,0.646341,0.109756
